id	type	DescriptionTitle	PriceLabel	ListingDate	ReListingDate	Address	Suburb	State	PostCode	Property.lat	Property.lon	PropertyType	Agency.Id	Agency.Type	Agency.Name	Agent.Name	Beds	Baths	Cars	EER	PlotSize	Features
178755467	RENTAL_RESIDENTIAL	3 BEDROOM HOME WITH PLENTY OF LIVING SPACE!	$455 per week	2020-10-01 00:10:00		8 Petterd Street	Page	ACT	2614	-35.2427089	149.05407676	DUPLEX	116	Agent	Laurrie Scheele	Property Management	3.0	1	1		677.4	[]
178759222	RENTAL_RESIDENTIAL	Top Quality Apartment in Heart of Dickson	$600 per week	2020-10-01 00:52:20		48/26 Antill Street	Dickson	ACT	2602	-35.2481736	149.1358377	APARTMENT	72	Agent	Wright Dunn Real Estate	Elvie Ryan	2.0	2	2		3498.0	['AIR_CONDITIONING_REVERSE_CYCLE', 'BODY_CORPORATE', 'DISHWASHER', 'HOPPER', 'INTERCOM', 'WALK_IN_ROBE']
178764005	RENTAL_RESIDENTIAL	Two-bedroom apartment, fully furnished, located in leafy Forrest near popular Manuka	$560 pw	2020-10-01 02:41:37		30/7 Empire Circuit	Forrest	ACT	2603	-35.3161868	149.1319983	APARTMENT	98	Agent	LJ Hooker Manuka	Leasing Consultant	2.0	2	2		0.0	['AIR_CONDITIONING_SPLIT_SYSTEM', 'DISHWASHER', 'FULLY_FURNISHED', 'HEATING_OTHER']
178764936	RENTAL_RESIDENTIAL	Luxury Living in Central Canberra!	$895.00 p/w	2020-10-01 03:51:28		2/14 Holder Street	Turner	ACT	2612	-35.2676404	149.1265779	TOWNHOUSE	649081	Agent	Ashby Partners Real Estate Pty Ltd	Braedan Kidd	3.0	2	2	6.5	0.0	[]
178764937	RENTAL_RESIDENTIAL	14/80 Newdegate – Superb, Stylish & Sophisticated at HORIZONS	Application Approved	2020-10-01 04:00:42		14/80 Newdegate Street	Deakin	ACT	2600	-35.31325089999999	149.1049562	APARTMENT	682863	Agent	Hayman Partners	Annaliese Doyle	4.0	3	0		0.0	['AIR_CONDITIONING', 'AIR_CONDITIONING_OTHER']
178766336	RENTAL_RESIDENTIAL	MODERN TWO BEDROOM UNIT IN GREAT LOCATION	$495 per week	2020-10-01 06:11:06		5/47 Comrie Street	Wanniassa	ACT	2903	-35.4036232	149.0996465	UNIT	1507	Agent	Maloney's Property Management	Christine Marimon	2.0	3	2		0.0	[]
178764476	RENTAL_RESIDENTIAL	Narrabundah furnished	$630 per week	2020-10-01 06:53:35		16/34 Leahy Close	Narrabundah	ACT	2604	-35.34439339	149.14132678	APARTMENT	50	Agent	PURNELL	Teresa Henderson	3.0	2	2			['AIR_CONDITIONING_REVERSE_CYCLE', 'DISHWASHER', 'FULLY_FURNISHED', 'SWIMMING_POOL', 'UNDERGROUND_PARKING']
178748709	RENTAL_RESIDENTIAL	MODERN EXECUTIVE HOME	$1,030 per week	2020-10-01 13:03:37		4 Ballantyne Crescent	Franklin	ACT	2913	-35.2025882	149.14321950000001	HOUSE	67046	PrivateLister	Private Lister		6.0	4	4	6.0	516.0	['AIR_CONDITIONING', 'AIR_CONDITIONING_OTHER', 'ALARM', 'ALLOCATED_CAR_SPACE', 'DINING_ROOM', 'ENCLOSED_BACKYARD', 'FAMILY_ROOM', 'HEATING_REVERSE_CYCLE', 'PARTIALLY_FURNISHED', 'RUMPUS_ROOM', 'SEPARATE_TOILET', 'STUDY']
178768326	RENTAL_RESIDENTIAL	Kingston convenience and lifestyle	$540 per week	2020-10-02 00:29:18		138/31 Wentworth Avenue	Kingston	ACT	2604	-35.3152405	149.1402813	APARTMENT	50	Agent	PURNELL	Teresa Henderson	1.0	1	1		1306.0	['AIR_CONDITIONING_REVERSE_CYCLE', 'DISHWASHER', 'FULLY_FURNISHED', 'UNDERGROUND_PARKING']
178768276	RENTAL_RESIDENTIAL	Quiet positioning, luxury living	$630 per week	2020-10-02 01:02:49		1 The Causeway	Kingston	ACT	2604	-35.31676596	149.14918251	APARTMENT	896193	Agent	Rowan Glanville	Rowan Glanville	2.0	2	1	7.0	103.0	['AIR_CONDITIONING_REVERSE_CYCLE', 'AIR_CONDITIONING_SPLIT_SYSTEM', 'DISHWASHER', 'DOUBLE_GLAZED_WINDOWS', 'NETWORK_CABLING', 'SLAB_CONSTRUCTION']
