ListingId	DateTime	URL
56224	2022-04-01T09:44:21.967684+11:00	5-sawicki-place-gordon-act-2906
56225	2022-04-01T09:39:47.259566+11:00	7-mclellan-place-wanniassa-act-2903
56226	2022-04-01T09:46:20.642754+11:00	5-26-moulden-court-belconnen-act-2617
56227	2022-04-01T09:46:23.928989+11:00	9-26-moulden-court-belconnen-act-2617
56229	2022-04-01T10:17:01.978446+11:00	25-12-byron-court-phillip-act-2606
56231	2022-04-01T10:46:20.053143+11:00	11-belconnen-way-weetangera-act-2614
56232	2022-04-01T10:44:45.150065+11:00	18-frome-street-griffith-act-2603
56234	2022-04-01T10:54:14.809905+11:00	3-lomandra-street-oconnor-act-2602
56236	2022-04-01T11:12:43.902779+11:00	336-26-anzac-park-campbell-act-2612
56238	2022-04-01T11:26:43.679950+11:00	5-forbes-street-turner-act-2612
56240	2022-04-01T12:31:24.427513+11:00	10-garrard-street-spence-act-2615
56241	2022-04-01T12:27:17.269113+11:00	13-kilduff-street-block-11-section-115-watson-act-2602
56243	2022-04-01T12:25:15.535267+11:00	15-kilduff-street-block-10-section-115-watson-act-2602
56247	2022-04-01T13:01:43.381006+11:00	33-28-ringrose-crescent-isaacs-act-2607
56252	2022-04-01T13:51:12.850181+11:00	89-9-braybrooke-street-bruce-act-2617
56260	2022-04-01T15:01:27.305135+11:00	120-lachlan-street-macquarie-act-2614
