id	type	ListingDate	PriceLabel	SoldDate	SoldPrice	Beds	Baths	Cars	EER	PlotSize	Agency.Name	Slug
32689	House	2022-08-31	$9,000,000	2022-10-07	$9,000,000	5	4	6	3.0	0.0	Berkely Residential	82-empire-circuit-deakin-act-2600
54762	House	2022-08-30	$6,770,000	2023-02-24	$6,770,000	7	4	4	4.5	0.0	Berkely Residential	9-northcote-crescent-deakin-act-2600
55566	Apartment	2022-08-31	$750,000	2022-09-08	$750,000	2	2	2	6.0	0.0	Berkely Residential	158-46-macquarie-street-barton-act-2600
59716	Townhouse	2022-08-30	$2,500,000	2022-09-06	$2,500,000	3	3	2	6.0	0.0	Berkely Residential	46-lawley-street-deakin-act-2600
60438	House	2022-07-01	Contact Agent	2022-07-29	$950,000	4	2	1		484.0	Smile Elite	25-alison-drive-glenmore-park-nsw-2745
60440	House	2022-07-01	Contact agent	2022-07-22	$968,000	3	1	1		538.0	Smile Elite	54-lone-pine-avenue-umina-beach-nsw-2257
60441	House	2022-07-01	Price Guide $495,000	2023-07-25	Undisclosed	2	1	1		569.0	dwell Realty	124-east-street-nowra-nsw-2541
60442	House	2022-07-01	Price Guide $1,025,000	2022-10-31	$1,025,000	4	2	2		1622.0	InHouse Real Estate	26b-elizabeth-pde-tura-beach-nsw-2548
60452	House	2022-07-01	Auction 23/07/2022	2022-07-23	Undisclosed	3	2	2	4.5		Ray White Canberra	5-60-boldrewood-street-turner-act-2612
60454	House	2022-07-01	By Negotiation - Vicinity of $1,150,000-$1,175,000	2022-11-09	$1,160,000	4	2	7		1001.0	Marshall and Tacheci Real Estate	62-ocean-view-drive-bermagui-nsw-2546
60455	House	2022-07-01	$995,000	2022-09-19	Undisclosed	3	2	2		607.0	Whale Coast Realty	17-riverview-street-potato-point-nsw-2545
60469	House	2022-07-01	$870,000 - $899,000	2022-08-03	$889,250	5	3	2		929.0	PRD Wagga Wagga	19-amaroo-street-kooringal-nsw-2650
60472	House	2022-07-01	Auction	2022-07-21	Undisclosed	4	2	2	4.5		Luton Gungahlin	8-oshane-street-bonner-act-2914
60476	Unit	2022-07-01	$489,000+	2022-07-15	Undisclosed	2	1	1	5.0		Luton Tuggeranong	7-181-mcbryde-crescent-wanniassa-act-2903
60481	House	2022-07-01	Auction 24/07/2022	2022-07-23	Undisclosed	5	2	4	3.5	1509.0	Ray White Canberra	26-packer-street-weetangera-act-2614
60490	House	2022-07-01	Contact agent	2022-10-27	Undisclosed	4	3	1		651.0	Smile Elite	2-muli-muli-avenue-ocean-shores-nsw-2483
60498	House	2022-07-01	$1,850,000 - $2,030,000	2022-07-12	Undisclosed	5	3	5	0.0	80680.0	Ray White Canberra	340-macs-reef-road-bywong-nsw-2621
60503	House	2022-07-02	Price Reduction - $690,000	2022-11-15	$680,000	4	2	4		556.0	Fraser-Gray Real Estate	6-bernadette-boulevard-batehaven-nsw-2536
60505	House	2022-07-04	Contact Agent	2022-07-27	$800,010	4	1	2	0.0	694.0	The Real Estate Guy	20-hinkler-street-scullin-act-2614
60506	House	2022-07-04	$350,000 - $380,000	2022-07-27	Undisclosed	3	1	1		595.0	Macarthur Real Estate Agency	13-lockett-place-tolland-nsw-2650
60507	House	2022-07-04	PREVIEW	2022-08-24	Undisclosed	3	1	2		974.0	Macarthur Real Estate Agency	20-langi-crescent-glenfield-park-nsw-2650
60509	House	2022-07-04	$355,000	2022-07-04	$355,000	2	1	1			Raine & Horne Goulburn	7-31-newton-street-goulburn-nsw-2580
60519	Unit	2022-07-04	Contact Agent	2022-09-29	$335,000	2	1	1			LJ Hooker Queanbeyan – Jerrabomberra – Googong	14-18-booth-street-queanbeyan-east-nsw-2620
60521	House	2022-07-04	Contact Agent	2022-11-01	$1,165,000	4	3	2			Smile Elite	39-blackheath-street-the-ponds-nsw-2769
60522	House	2022-07-04	$98,500	2022-07-29	Undisclosed	2	1	0			Ray White Wagga Wagga	9-egan-street-ardlethan-nsw-2665
60523	Land	2022-07-04	$500,000 - $550,000	2022-08-19	Undisclosed	0	0	0			Ray White Wagga Wagga	springvale-2650-nsw
60527	House	2022-07-04	$349,000	2022-07-08	Undisclosed	3	1	1			Ray White Wagga Wagga	2-loughnan-street-coolamon-nsw-2701
60528	House	2022-07-04	Contact Agent	2022-08-11	Undisclosed	2	1	2			Ray White Wagga Wagga	116-coleman-street-turvey-park-nsw-2650
60529	House	2022-07-04	Contact Agent	2022-07-13	Undisclosed	3	2	1		644.9	Ray White Wagga Wagga	10-malumba-crescent-kooringal-nsw-2650
60530	House	2022-07-04	$449,000	2022-11-02	Undisclosed	3	1	1		543.8	Ray White Wagga Wagga	7-heath-street-turvey-park-nsw-2650
60531	House	2022-07-04	$460,000 - $480,000	2022-07-22	Undisclosed	3	1	2		739.0	Ray White Wagga Wagga	11-willow-street-kooringal-nsw-2650
60533	House	2022-07-04	Offers above $799,000	2022-07-29	$775,000	3	2	2	6.0	245.0	Town Residential	143-bernard-heinz-avenue-moncrieff-act-2914
60534	BlockOfUnits	2022-07-04	Contact Agent	2022-10-31	Undisclosed	6	6	1			Ray White Wagga Wagga	1-6-24-willow-street-kooringal-nsw-2650
60535	House	2022-07-04	Contact Agent	2022-07-18	Undisclosed	3	2	3		800.0	Ray White Wagga Wagga	14-melkin-avenue-glenfield-park-nsw-2650
60536	House	2022-07-04	$795,000	2022-10-26	Undisclosed	5	2	2		672.7	Ray White Wagga Wagga	100-brooklyn-drive-bourkelands-nsw-2650
60544	Unit	2022-07-04	Contact Agent	2022-07-27	$266,000	1	1	1			LJ Hooker Queanbeyan – Jerrabomberra – Googong	6-20-trinculo-place-queanbeyan-east-nsw-2620
60546	House	2022-07-04	Auction 20/07/2022	2022-07-19	Undisclosed	3	2	1	1.5	766.0	LJ Hooker Dickson	68-paterson-street-ainslie-act-2602
60549	Unit	2022-07-04	$489,000	2022-07-28	$460,000	2	1	1			Elders Real Estate Batemans Bay	8-13-17-herarde-street-batemans-bay-nsw-2536
60552	House	2022-07-04	Contact Agent	2022-08-15	$850,000	3	2	2		501.0	LJ Hooker Queanbeyan – Jerrabomberra – Googong	18-tooroonga-crescent-jerrabomberra-nsw-2619
60553	House	2022-07-04	$749,000	2022-10-07	Undisclosed	4	2	2		563.0	PRD Wagga Wagga	1-sturrock-drive-boorooma-nsw-2650
60557	House	2022-07-04	$980,000 - $1,060,000	2022-07-20	$1,040,000	4	2	2		812.0	My Agent Team	10-escape-place-malua-bay-nsw-2536
60563	House	2022-07-05	$1,900,000+	2022-11-10	$1,850,000	6	4	2	4.0	554.0	Dynamics Estate Agents	22-toorale-terrace-lawson-act-2617
60564	House	2022-07-05	Under Contract	2022-10-10	Undisclosed	4	3	1	3.5		MARQ Property	8-gang-gang-court-ngunnawal-act-2913
60568	House	2022-07-05	Auction, Saturday July 30 at 11:30am	2022-07-30	$1,050,000	4	2	2	4.0	451.0	LJ Hooker Gungahlin	55-anakie-court-ngunnawal-act-2913
60571	House	2022-07-05	Contact Agent	2022-07-06	Undisclosed	4	2	2		1358.0	Ray White Wagga Wagga	9-william-kelly-drive-coolamon-nsw-2701
60573	House	2022-07-05	Price Guide $1,150,000	2022-11-17	Undisclosed	3	2	2		667.0	Dwyer Properties Sapphire Coast	15-lakewood-drive-merimbula-nsw-2548
60576	House	2022-07-05	$760,000	2022-08-04	$760,000	3	1	0	0.5	679.0	Blackshaw Gungahlin	30-burkitt-street-page-act-2614
60580	DuplexSemi-detached	2022-07-05	Preview	2022-09-02	Undisclosed	6	3	2		575.0	Macarthur Real Estate Agency	1-2-1-ronald-street-gobbagombalin-nsw-2650
60581	House	2022-07-05	$849,000	2022-10-10	Undisclosed	3	1	2		838.0	Sails Real Estate	19-berrambool-drive-merimbula-nsw-2548
60582	Unit	2022-07-05	Price Guide $575,000	2022-08-04	$525,000	3	2	2			One Agency Dwyer Properties	5-5-brodribb-court-merimbula-nsw-2548
60584	House	2022-07-05	$850,000+	2022-09-16	Undisclosed	3	1	1	0.0	834.0	LJ Hooker Woden/Weston	38-streeton-drive-rivett-act-2611
