ListingId	DateTime	URL
77865	2023-04-01T13:16:24.859519+11:00	22-120-thynne-street-bruce-act-2617
77869	2023-04-03T09:44:17.179148+10:00	34-chanter-terrace-coombs-act-2611
77870	2023-04-03T09:46:33.754039+10:00	27-1-buik-place-belconnen-act-2617
77873	2023-04-03T09:54:12.460846+10:00	8-12-condamine-st-turner-act-2612
77877	2023-04-03T10:29:52.106286+10:00	28-7-elvire-place-palmerston-act-2913
77880	2023-04-03T11:05:56.954916+10:00	10-25-eastlake-parade-kingston-act-2604
77882	2023-04-03T12:01:29.824351+10:00	704-25-edinburgh-avenue-city-act-2601
77883	2023-04-03T11:52:41.616585+10:00	705-25-edinburgh-avenue-canberra-act-2601
77885	2023-04-03T12:26:20.441069+10:00	12-43-ijong-street-braddon-act-2612
77890	2023-04-03T13:12:08.585380+10:00	13-pender-street-casey-act-2913
77893	2023-04-03T13:46:48.230198+10:00	2-lorne-place-palmerston-act-2913
77896	2023-04-03T14:01:47.602304+10:00	8a-cumpston-place-macgregor-act-2615
77899	2023-04-03T14:31:51.260629+10:00	41-11-kerridge-street-kingston-act-2604
77900	2023-04-03T14:30:16.330987+10:00	38-21-battye-street-bruce-act-2617
77901	2023-04-03T14:33:28.759690+10:00	7-18-shugg-street-taylor-act-2913
77902	2023-04-03T14:32:02.358233+10:00	45-136-thynne-street-bruce-act-2617
77904	2023-04-03T14:51:37.354088+10:00	55-50-ellenborough-street-lyneham-act-2602
77905	2023-04-03T14:54:21.103716+10:00	15b-kingham-place-charnwood-act-2615
77909	2023-04-03T14:57:14.991661+10:00	39-2-manning-clark-crescent-franklin-act-2913
77912	2023-04-03T15:58:42.826273+10:00	77-perry-drive-chapman-act-2611
77916	2023-04-03T16:46:31.968449+10:00	17-30-cartwright-street-charnwood-act-2615
77919	2023-04-03T16:59:32.239078+10:00	416-74-northbourne-avenue-braddon-act-2612
77923	2023-04-04T08:00:42.428160+10:00	7-zanci-st-crace-act-2911
77926	2023-04-04T08:48:41.296210+10:00	123-mckillop-circuit-kambah-act-2902
77927	2023-04-04T08:52:37.716225+10:00	67a-anna-morgan-circuit-bonner-act-2914
77929	2023-04-04T08:56:16.059442+10:00	5-3-billabong-street-lawson-act-2617
77930	2023-04-04T09:14:03.855511+10:00	9-grevillea-st-oconnor-act-2602
77931	2023-04-04T09:16:32.984309+10:00	133c-miller-street-oconnor-act-2602
77933	2023-04-04T09:18:30.753678+10:00	7-whittell-crescent-florey-act-2615
77935	2023-04-04T09:34:19.825188+10:00	11-boreham-lane-gungahlin-act-2912
77937	2023-04-04T09:40:56.268373+10:00	39-courtneidge-street-dunlop-act-2615
77940	2023-04-04T10:28:40.308409+10:00	78-42-paul-coe-crescent-ngunnawal-act-2913
77945	2023-04-04T10:50:37.963071+10:00	24a-chillagoe-street-fisher-act-2611
77948	2023-04-04T11:12:49.674421+10:00	26-adinda-street-waramanga-act-2611
77952	2023-04-04T11:31:31.378404+10:00	68-bugden-ave-gowrie-act-2904
77965	2023-04-04T13:46:10.618124+10:00	704-2-gribble-street-gungahlin-act-2912
77966	2023-04-04T13:55:11.959019+10:00	51-72-wentworth-ave-kingston-act-2604
77967	2023-04-04T14:02:52.125428+10:00	1405-19-marcus-clarke-street-city-act-2601
77972	2023-04-04T14:32:02.655966+10:00	99-castleton-crescent-gowrie-act-2904
77974	2023-04-04T14:52:49.518688+10:00	1-13-scratchley-place-monash-act-2904
77980	2023-04-04T15:09:09.951008+10:00	2-20-allara-street-city-act-2601
77981	2023-04-04T15:13:43.294149+10:00	118-45-west-row-city-act-2601
77987	2023-04-04T16:16:08.436358+10:00	12-fennessy-way-forde-act-2914
77989	2023-04-04T16:31:40.875790+10:00	7-4-wilson-crescent-banks-act-2906
77994	2023-04-04T16:46:58.820513+10:00	62-pennefather-street-higgins-act-2615
77995	2023-04-04T16:46:59.441737+10:00	16-wargila-place-giralang-act-2617
77996	2023-04-04T17:01:33.517258+10:00	1104-15-bowes-street-phillip-act-2606
77998	2023-04-04T17:06:32.647711+10:00	317-45-honeysett-view-kingston-act-2604
78004	2023-04-05T09:45:33.539365+10:00	13-mccrae-street-garran-act-2605
78005	2023-04-05T09:36:15.297028+10:00	148-81-kennedy-street-kingston-act-2604
78007	2023-04-05T09:46:39.545249+10:00	1b-moorehead-place-latham-act-2615
78015	2023-04-05T10:51:52.530576+10:00	3-21-keira-street-narrabundah-act-2604
78021	2023-04-05T12:11:59.992813+10:00	47-67-negus-crescent-watson-act-2602
78025	2023-04-05T12:02:03.362421+10:00	8-1-fawkner-street-braddon-act-2612
78029	2023-04-05T13:16:31.158549+10:00	159-langdon-avenue-wanniassa-act-2903
78034	2023-04-05T14:16:31.624590+10:00	5-135-limestone-avenue-braddon-act-2612
78036	2023-04-05T14:16:31.793053+10:00	206-4-masson-street-turner-act-2612
78037	2023-04-05T14:16:31.802481+10:00	810-86-88-northbourne-avenue-braddon-act-2612
78040	2023-04-05T14:20:34.969544+10:00	216-74-northbourne-avenue-braddon-act-2612
78048	2023-04-05T15:15:40.570295+10:00	25-bunny-street-weston-act-2611
78050	2023-04-05T15:31:34.727115+10:00	11-42-goodwin-street-lyneham-act-2602
78053	2023-04-05T15:37:05.751940+10:00	109-99-eastern-valley-way-belconnen-act-2617
78054	2023-04-05T15:46:30.685264+10:00	29a-borland-street-taylor-act-2913
78057	2023-04-05T16:01:58.856885+10:00	307-9-watkin-street-bruce-act-2617
78078	2023-04-06T09:46:40.805906+10:00	9-leisler-place-palmerston-act-2913
78086	2023-04-06T11:23:52.168244+10:00	30-dallachy-place-page-act-2614
78091	2023-04-06T11:58:06.709075+10:00	144-1-braybrooke-street-bruce-act-2617
78092	2023-04-06T11:47:11.303542+10:00	13-17-billabong-street-lawson-act-2617
