ListingId	UpdateOnDate	Address	NewPrice
175121598	2023-02-08	marian-manuka-29-55-franklin-street-forrest-canberra	$495,000
178365813	2023-01-17	no-street-name-provided-whitlam-canberra	$1,225,000-$1,250,000
178365813	2023-01-18	no-street-name-provided-whitlam-canberra	$1,225,000-$1,250,000
178365813	2023-01-19	no-street-name-provided-whitlam-canberra	$1,225,000-$1,250,000
178365813	2023-01-20	no-street-name-provided-whitlam-canberra	$1,225,000-$1,250,000
178365813	2023-01-21	no-street-name-provided-whitlam-canberra	$1,225,000-$1,250,000
178365813	2023-01-22	no-street-name-provided-whitlam-canberra	$1,225,000-$1,250,000
178365813	2023-01-23	no-street-name-provided-whitlam-canberra	$1,225,000-$1,250,000
178365813	2023-01-24	no-street-name-provided-whitlam-canberra	$1,225,000-$1,250,000
179319644	2023-02-06	g6-upmarket-3-bedroom-ensuite-terraces-with-courtyards-gungahlin-canberra	$699,900
179319644	2023-02-07	g6-upmarket-3-bedroom-ensuite-terraces-with-courtyards-gungahlin-canberra	$699,900
179319644	2023-02-08	g6-upmarket-3-bedroom-ensuite-terraces-with-courtyards-gungahlin-canberra	$699,900
179319986	2023-02-21	sierra-gungahlin-1-bedroom-study-gungahlin-canberra	$419,888
179319986	2023-02-23	sierra-gungahlin-1-bedroom-study-gungahlin-canberra	$419,888
179319986	2023-02-24	sierra-gungahlin-1-bedroom-study-gungahlin-canberra	$419,888
179319986	2023-02-25	sierra-gungahlin-1-bedroom-study-gungahlin-canberra	$419,888
179319986	2023-02-26	sierra-gungahlin-1-bedroom-study-gungahlin-canberra	$419,888
179319986	2023-02-27	sierra-gungahlin-1-bedroom-study-gungahlin-canberra	$419,888
179319986	2023-02-28	sierra-gungahlin-1-bedroom-study-gungahlin-canberra	$419,888
179323250	2023-02-06	g6-exclusive-2-bedroom-ensuite-terraces-with-2-living-areas-gungahlin-canberra	$629,900
179323250	2023-02-07	g6-exclusive-2-bedroom-ensuite-terraces-with-2-living-areas-gungahlin-canberra	$629,900
179323250	2023-02-08	g6-exclusive-2-bedroom-ensuite-terraces-with-2-living-areas-gungahlin-canberra	$629,900
179334047	2023-01-27	g6-2-bedroom-apartments-with-secure-basement-parking-gungahlin-canberra	$484,900
179334047	2023-01-29	g6-2-bedroom-apartments-with-secure-basement-parking-gungahlin-canberra	$484,900
179334047	2023-01-30	g6-2-bedroom-apartments-with-secure-basement-parking-gungahlin-canberra	$484,900
